sample_id,video_id,channel_id,publish_time,input_window_start_h,input_window_end_h,target_window_start_h,target_window_end_h,views_48h,views_72h,next_24h_views,log_next_24h_views
FlhdlwKyGyE_first48h,FlhdlwKyGyE,UCExxWMXIf8UR5xb4eQTdh7A,2026-05-07 23:32:15+00:00,0,48,48,72,22670.0,22800.29407806191,130.2940780619101,4.877439677945151
BK6AkX_aK90_first48h,BK6AkX_aK90,UChqUTb7kYRX8-EiaN3XFrSQ,2026-05-08 11:10:28+00:00,0,48,48,72,2319.0,2753.582121131976,434.5821211319758,6.076683345983171
07A6cjrNdc0_first48h,07A6cjrNdc0,UCbxdaKZDeMf3D2gqMjmYFow,2026-05-08 15:36:30+00:00,0,48,48,72,308.0,339.4575230296827,31.457523029682704,3.479932250785493
xNKJxjTOzhQ_first48h,xNKJxjTOzhQ,UCCk96NNITxAavc1ED1VvnEg,2026-05-08 12:51:54+00:00,0,48,48,72,31042.690360272638,31223.830690194325,181.14032992168723,5.204777433501199
NvCPzprtuXQ_first48h,NvCPzprtuXQ,UCb5NLtXAsTBrmaZVhyFa-Wg,2026-05-07 10:44:33+00:00,0,48,48,72,45299.36113360324,45118.11976630964,0.0,0.0
xJNzZdBhHEU_first48h,xJNzZdBhHEU,UCi6Nwwk1pAp7gYwe3is7Y0g,2026-05-08 10:38:14+00:00,0,48,48,72,9121.0,9894.881527669524,773.8815276695241,6.6527101501447214
GPjVI7kpIbw_first48h,GPjVI7kpIbw,UC5Fms2Bl_HM6DPYgyL5DOyg,2026-05-08 12:40:01+00:00,0,48,48,72,362675.7113801453,364771.70451612904,2095.9931359837647,7.648259757641324
FLekkNKo32E_first48h,FLekkNKo32E,UCmgDmqjxbkqIXu4rNbrKodA,2026-05-08 09:23:21+00:00,0,48,48,72,6870.495655715449,6976.754259163655,106.25860344820558,4.675242773222071
9IOvW_1qNvU_first48h,9IOvW_1qNvU,UC2TuODJhC03pLgd6MpWP0iw,2026-05-08 15:20:36+00:00,0,48,48,72,58429.0,61768.0,3339.0,8.113726085970747
uX7jTzh5GWw_first48h,uX7jTzh5GWw,UCU09evAyoTH4HYC4e1S5qtA,2026-05-08 14:58:27+00:00,0,48,48,72,70901.0,78456.28014184398,7555.280141843978,8.930134303350215
3lf9HdiQtjk_first48h,3lf9HdiQtjk,UCzYfz8uibvnB7Yc1LjePi4g,2026-05-07 20:20:51+00:00,0,48,48,72,493962.0,576473.0762250454,82511.07622504537,11.320699940095885
iFmjYBMQ4x4_first48h,iFmjYBMQ4x4,UCiOki3bA8llEHVgXBQ3x6wg,2026-05-08 09:18:06+00:00,0,48,48,72,44737.415954415956,44895.90652048471,158.49056606875092,5.071984773571269
X-FN-1Zbtjg_first48h,X-FN-1Zbtjg,UCdZGwKwvi_i5BLvFzCj4FXw,2026-05-07 08:00:35+00:00,0,48,48,72,58271.71416596815,60468.767028493894,2197.052862525743,7.6953271849590505
wWTIYj0swhA_first48h,wWTIYj0swhA,UCoLrcjPV5PbUrUyXq5mjc_A,2026-05-06 22:47:21+00:00,0,48,48,72,105173.39406430339,108026.16630552546,2852.7722412220755,7.9563969914963595
NS1Syihzbrk_first48h,NS1Syihzbrk,UCnVJ112p6NFV8VcyYAgPlMg,2026-05-07 17:02:01+00:00,0,48,48,72,57.0,71.89783653846155,14.897836538461547,2.766183033204839
XG58-insqGU_first48h,XG58-insqGU,UCmAQ_4ELJodnKuNqviK86Dg,2026-05-07 21:36:26+00:00,0,48,48,72,206837.63000785545,208092.20377160818,1254.5737637527345,7.1353479293630055
vdT4cq7PF0s_first48h,vdT4cq7PF0s,UCiWXd0nmBjlKROwzMyPV-Nw,2026-05-08 11:55:27+00:00,0,48,48,72,237494.0,282040.44242424244,44546.44242424244,10.704310022143076
aehY3OXOhJQ_first48h,aehY3OXOhJQ,UCiWXd0nmBjlKROwzMyPV-Nw,2026-05-07 11:00:03+00:00,0,48,48,72,32516.633638634474,39076.11340701586,6559.479768381385,8.788819014687862
yndCujkWU9w_first48h,yndCujkWU9w,UCXOBLGJdYA1mfhOrDwQESTg,2026-05-08 15:49:15+00:00,0,48,48,72,25611.0,25867.211814687438,256.21181468743816,5.549899927107196
nJpgMT4bQ0g_first48h,nJpgMT4bQ0g,UC1M2vOZevdQWwRsW4DUBNsw,2026-05-08 15:31:41+00:00,0,48,48,72,17315.0,17771.871401946573,456.8714019465733,6.126588362911561
04me1Y64hj0_first48h,04me1Y64hj0,UCiWLfSweyRNmLpgEHekhoAg,2026-05-08 15:03:41+00:00,0,48,48,72,406058.0,417423.0643506645,11365.0643506645,9.338387383521885
8nXS_0nPHl0_first48h,8nXS_0nPHl0,UCaS8sePfGIHBU1R6uz04d0g,2026-05-08 11:00:19+00:00,0,48,48,72,39906.230562642675,40448.19550561798,541.9649429753044,6.297044756109965
uIn7RlD0lDo_first48h,uIn7RlD0lDo,UC5Fms2Bl_HM6DPYgyL5DOyg,2026-05-07 12:45:10+00:00,0,48,48,72,243505.0,244219.82363977487,714.8236397748697,6.573433823456987
d-zYS06_VAQ_first48h,d-zYS06_VAQ,UC5fkmrA5VDTr2IU7lPmpsHA,2026-05-07 10:20:08+00:00,0,48,48,72,6681.26913372582,6708.261834715165,26.992700989344485,3.3319437972405574
BY_2HPiEpeo_first48h,BY_2HPiEpeo,UCexpzYDEnfmAvPSfG4xbcjA,2026-05-08 12:36:04+00:00,0,48,48,72,4712.0,4742.8568608094765,30.85686080947653,3.4612527688514234
WB3Jar0dPU0_first48h,WB3Jar0dPU0,UCvs0dfHDjed-qDVtvGlWNeQ,2026-05-08 16:25:52+00:00,0,48,48,72,74.0,76.0,2.0,1.0986122886681098
oVcfN6FI_lY_first48h,oVcfN6FI_lY,UCGKL5LoNqNAR8yCj8wiWScA,2026-05-08 10:02:01+00:00,0,48,48,72,27947.389891696752,28250.293162813578,302.90327111682564,5.716709463658256
ipWXRxjjj9Q_first48h,ipWXRxjjj9Q,UCMpuxj_U02VaHfaPD5Jjx_Q,2026-05-08 15:16:23+00:00,0,48,48,72,47202.0,50192.697403760074,2990.697403760074,8.003596198872941
