video_id,lgbm_oof_proba,label
Kjzh2fcRkZg,0.027089170458586026,0
_lKxiPGPHXI,0.0806064475860723,0
DiZqxJF8Y38,0.5791897019407456,0
sMt4gpUYC_g,0.048438499450103915,0
w8TWGA5u6ZA,0.13357720897869388,0
51iONaGlY4o,0.10458154681285808,0
QnXsk_OZk6w,0.09134886354224281,0
nuoT76iQDCA,0.5772605206064696,0
sClNRANL11I,0.05089782960975375,0
wzqA6uM4xxY,0.4552258853497309,0
itbGTHSKcwI,0.6831266347263325,1
JUTRPiU_q6E,0.6963890336197254,1
Uu9ss4vuyKs,0.09826509302216721,0
91ff_teCIZk,0.03401633202774152,0
hvzFBMLBGyA,0.7011364233113835,1
wa2Fod41L1U,0.1296797139272109,0
LrsizkQV7QQ,0.021483516731578774,0
_49muG4RZgo,0.8135754437801045,1
MT9-_IPpY2s,0.11740783057282729,0
ChygLe50z08,0.6024821712620189,0
9OCJyRTsBjI,0.18309028476041325,0
BZPmGaBryVg,0.0337267362145322,0
8pARtSBNQp4,0.025932545799218436,0
or1fNDi1NOA,0.04060104544494661,0
j19FZnuHrDU,0.03319559316221554,0
FXNRCf6khfk,0.04931033936338875,0
6nvIGyp1ccw,0.02375554654795612,0
6D3i43S-FaM,0.06838708359238935,0
0WX4BwI5DZU,0.028005118952172545,0
gwXfS5ZdeM8,0.3986784076680922,0
y9amAwHMgAY,0.7698328297073348,1
WMe9aeqwh1c,0.7891341356397605,1
FZl6_2Ej4cw,0.8108263389569683,1
Ju__wQyLzkg,0.03674530203543452,0
DmaFT8RPf-Q,0.15697625107732138,0
qj-iRd-2dLU,0.034740500969410885,0
GvmgIcuAu-4,0.17590124856858882,0
-7Kqq1s_jc8,0.030518198965912475,0
b1thvLSSGlg,0.4460550140830057,0
dG8OSPd9vRs,0.05712006440813355,0
L7jB5OdVuGE,0.5036895992756926,0
rtWH2cieEaU,0.4592182552302405,0
LCF0Rks3sCM,0.024028785284069844,0
N18F3yMrwsE,0.7289664654374711,1
3PIh9Kj8MVQ,0.07368643329277813,0
LhCvGWiDV6M,0.02438747099108293,0
54EzS8shBVc,0.024787646902671698,0
d9b9f2T5j-o,0.049480775954945586,0
N2-j0acTs0k,0.6644376099002792,1
Rf3-4dHpfLg,0.08789272441036702,0
QbnVQ2y3vlo,0.0805348025317461,0
0tQ7DbLJY1g,0.22025882306962768,0
74emaeQZjHM,0.3675883840340732,0
c9CchyxaPT8,0.6524591078377345,1
itrEMe4zWx8,0.16032949430292032,0
9MS5bK_kuqw,0.3132510521510969,0
0RoH3tk8gYw,0.10576140390920537,0
6NOpT5YCA4U,0.41460158908529127,0
oKt_c0LyMOY,0.0923033257264713,0
ghuj2-r29rQ,0.09780929605270977,0
FLL-ktCM0LE,0.055172505615495436,0
RIn0OgNqcAM,0.04925070712949176,0
fFRNYKCg3is,0.47117921545289193,1
0TgRQcg-_cI,0.05647472474102695,0
YS2Iv5Dv83g,0.14874603341033413,0
SKUMC4dTabY,0.13899185982559528,0
R6ehbI8Eba8,0.3587080221917323,0
1F5viyQTfa8,0.30543555780753107,0
0bRbs6xetv0,0.707952180146146,1
JMqEG8iDVG0,0.7181449781846931,1
9thLFANVGyY,0.7180872870276548,1
M-Q2yPro8B4,0.6674108331585332,1
YlCPPymxBOs,0.1560961540341459,0
-4obHL-lcIM,0.05103616021349984,0
2k23RhdxLpE,0.3047033344288436,0
P0eCFEQcQN8,0.10855510274436844,0
Uj7RM403Ezk,0.09742144006736932,0
GWQERPvWSpM,0.3376951074719575,0
7PCIJryxbyA,0.6802075984367861,1
d_EfUU3307s,0.4070749227541129,0
G9C3UqpdNks,0.6500857960680974,1
PkEPZmC84QY,0.049316627767379634,0
Zfv_k131lvA,0.5996605119755829,1
pN-xbVI8Gg8,0.47793007927645714,0
9-mgMoTdvkA,0.38148357797217647,0
0N6fv0RjA8M,0.11388655516701099,0
N8paaLoYZ9U,0.06161754107936151,0
sJTqDw7P9O0,0.0803076980993281,0
rGGvbvi5cUQ,0.07508623932169352,0
7t0t87YAK-c,0.1946114917233112,0
j8QqmEjlAmI,0.25168967184819846,0
Yf4GO4pm_HI,0.04990988128493636,0
1EQfmXpIVVI,0.11339349052054645,0
JGLjf3NWy3Y,0.35833953351933373,0
x_7vdc_6YbM,0.05198154817692639,0
EScYGH-TWFM,0.04976368550456622,0
Jjpy0gkQZ3w,0.15738058282541326,0
5no06QiBjrg,0.383069570744478,0
CwtkEhRgy30,0.04974218864688442,0
RjRInBZBHOo,0.04912096775616944,0
G0weTCxqPkg,0.09717049065194226,0
KJR7uA1FcQs,0.048902003289761575,0
Ss7gkNXmufY,0.051645429004870014,0
G-SZHNtamzs,0.07002495756153916,0
FO_NAZdN_kI,0.13083652180034336,0
fuWGo5zTEtY,0.2593763550243354,0
xYKVdQxTPwk,0.07803995666097166,0
ttFBgMCPxK0,0.05311047037392476,0
xow8h1Qp3-c,0.052878981152827416,0
fooFjZGVTsk,0.06991226145717809,0
BcUe3Mmxx5w,0.08312774190218246,0
xrwwBqSrVvo,0.05006150581456683,0
g7DaklPy-64,0.1014831083086763,0
_i64yBIWKD0,0.0822312907845457,0
2xzzDSGodxE,0.04989689525964409,0
NNxOS-R_crY,0.049384627257369085,0
ojWZysVRfwI,0.33116290589104547,0
Lo3ufgRZL3I,0.07084954152099734,0
0vSZ6JIAl2E,0.049695127430515865,0
mjCrPfjvC7k,0.59380310582487,1
EWHGFJ620Ss,0.12341570843954774,0
sQHoJ5qemeY,0.5983386835138399,1
WuCx_wjYHh4,0.08235295135393493,0
eHjAf0W5108,0.12067920806638974,0
7whq5gdiYCI,0.1014831083086763,0
zghkeVBaf24,0.06784839290079225,0
fD2QZIX2sTs,0.1312804242416627,0
dSCs8-HOG4U,0.19211699533309703,0
qOULXLKXB8U,0.18617029436786608,0
kh_ITt9_t90,0.0919773359816593,0
9DY8awV6g6A,0.22565873020867722,0
L3k6Vzb7GRY,0.08921149781991686,0
6rJu4377LBE,0.0498495665840536,0
OKvIRnMmGcE,0.0948512486413533,0
9OeypYUdlhY,0.1014831083086763,0
Dg7RtROi5q4,0.325013062944681,1
JV7Srvm73wU,0.049877724364175,0
V0ntxo8dCao,0.11610210092675986,0
luzHPN1Xhqo,0.2416656533885478,0
ooWP6ur-wsE,0.1102305535998621,0
3DfNNiqSq9E,0.1364203243012404,0
Y31RYhtAqaw,0.0819054088589458,0
31Q5UibcrVU,0.05004116496628967,0
fuMoOxeqtmI,0.09185196609426315,0
mEcw_9_7OS8,0.17891563096043694,0
Pj2EoU28W0A,0.21961063144796025,0
xn-uBaIjbQI,0.08229067405791346,0
jxrQrGl6-8I,0.1843852446952777,0
YXalXyz7_I4,0.05001105014050403,0
